Renewable energy consumption (% of total final energy consumption),CO2 emissions from solid fuel consumption (kt),"Literacy rate, adult total (% of people ages 15 and above)",GDP (current US$)
62.4576883595774,605867.346839967,,829829959319.292
62.1283378931582,587353.836149789,,899295676086.836
61.499576835816,626313.761249227,,979689662429.07
61.0826852828279,593205.503573315,,963347276805.076
61.7183967592541,594031.621327224,,952675592818.555
63.1246524339127,598691.772759534,,945439147816.613
63.0998368387508,607317.554484854,,849409658737.661
61.4204207108602,611439.70324548,,715485327250.406
62.0293694728243,624245.916040381,,713502105052.171
61.6429091855007,587724.101892574,,665598701583.95
62.9042205481805,573327.463070722,,580240749509.224
63.2439096118089,565665.505125784,,516661066465.534
63.7751947542527,574143.466890584,,442696185471.329
64.7295972927242,536612.589903034,,355716369427.671
65.1521153198181,492378.824395188,,267815037918.24
65.8786989918387,510166.64792296,,260992227336.281
65.4495238865207,511274.081678487,,287201651448.678
76.2833830991289,3632.48912686323,55.4379196166992,692181085843.488
76.6891600561783,2858.61100853149,54.8183212280273,769367317617.821
76.1358024948566,2642.76745171788,54.0067596435547,894585438237.958
77.1379412154111,2045.06838281495,53.0027809143066,834160608935.995
78.8868764432574,2127.10550991927,52.4101600646973,737799647336.195
79.5769126675124,2232.58181619626,51.7663116455078,682233324561.043
80.9395137178094,1769.65802753614,51.1569595336914,598697706331.002
82.818630343753,1775.51782232931,50.6923789978027,508552578501.962
81.6105898353143,1523.54664622317,49.8100395202637,567937963599.451
82.4864593391866,1599.72397853433,50.1195487976074,465683513908.341
81.9801467880255,1171.95895863321,,397088785487.807
81.0568164946989,1037.18367839039,51.4238204956055,312409315139.612
80.8757704707822,1189.53834301271,51.3834114074707,256100640349.771
80.8145905716618,990.30532004506,49.4743690490723,206982053949.069
81.8649253938099,1037.18367839039,49.4724502563477,178692437188.28
,342046.759,,1316821592128.16
,344521.984,,1293623329358.52
,346722.184,,1463823020682.85
,367103.37,,1417557275930.7
23.2950714112546,2807075.18367503,78.6065521240234,10537028724316.6
23.2586860898365,2662103.38111464,77.9914779663086,10237020101449.3
23.4797969089408,2561388.11565935,77.251350402832,10766609704140.0
24.0310143347149,2374946.55150629,76.3663711547852,10406754465041.8
23.7733426106844,2550473.33889995,75.8829193115234,10261753916720.6
24.1114815363071,2375832.53951624,75.28125,9813800566552.76
24.8677344772296,2170660.06198081,75.2594604492188,8708208712873.16
25.4221953186103,2193794.64780889,73.6762008666992,7172729962646.64
25.9558496427718,2114236.16819824,72.8475036621094,7460093874185.93
26.2262030974842,1957704.89809507,72.0456314086914,6624825302691.11
27.1669158641438,1819758.81820277,70.8128509521484,5596741342074.53
27.8828809731867,1698199.77870628,70.9275665283203,4895873888500.77
28.3927990012727,1612863.52254282,71.1810607910156,4210079741319.68
29.0577598656013,1510024.99583269,70.409912109375,3622987599508.75
29.5887941883654,1415284.10926094,69.378288269043,3254999167379.13
30.3000368306223,1395625.43073812,68.6700973510742,3351139229137.53
30.4134618326183,1376566.98560882,68.2059936523438,3377700768682.0
13.3225867072793,8629124.55562714,95.0339736938477,22776012762509.5
12.9503215901268,8884623.3072011,94.869499206543,21995274219766.7
13.1914590207076,8914374.09529975,94.6579895019531,22089701789223.8
12.8049975797319,9028990.32326381,94.1243209838867,21411284057214.5
12.8225859693401,9078056.83908183,94.0228500366211,21174178691967.8
12.7647566920643,8906023.83695883,93.8310394287109,19796933123174.5
13.4161693347713,8094420.71693349,94.124641418457,17078057240005.1
14.2950537387367,7076138.57363177,94.0279922485352,14630641103929.1
14.7634090238318,7246588.42535333,93.7255783081055,14220148735114.5
15.0643380789745,6404100.20633628,93.4407424926758,12331150790689.8
15.9701688544014,6276388.97437756,92.4162826538086,11034810130882.1
16.4521500875488,5729807.591407,92.0126571655273,10411320781531.8
17.947588197859,5135872.27448221,91.6966705322266,9758440010726.34
19.8144796859051,4524422.33746156,91.3519668579102,8702214026618.33
21.1682646992535,3939991.64873154,90.9889221191406,7912759253773.6
21.7668293056633,3540309.36265005,90.6438064575195,7789513198046.97
22.4892703779861,3449123.05852567,90.2488174438477,8377363424939.49
14.9357827247603,7505111.76496613,95.321418762207,13614572556661.5
14.5014500109842,7755004.3149037,95.1597595214844,13323235973753.0
14.8609234597099,7780252.78309205,94.9556732177734,12800187429285.8
14.5938204412081,7884739.5996024,94.5015029907227,11870059931822.1
14.7499203492228,7958937.0785657,94.405143737793,10759908112898.0
14.7534030380126,7782223.53872755,94.231330871582,9650693739294.8
15.7124472488783,6967742.59026627,94.4905471801758,7900541542589.84
17.0068390325042,6033383.81206667,94.3140487670898,6491258516157.22
17.8186195632414,6162954.27322336,94.0106811523438,5987096399585.56
18.4269273124366,5331096.47003394,93.751106262207,4731773141261.09
19.7699543690339,5247508.0800244,92.638069152832,3742774301714.16
20.7712206609005,4732303.71769015,92.2266998291016,3107694833176.92
23.2431185399422,4125844.83562129,91.9295196533203,2682937085437.41
26.6123181377304,3571721.53652929,91.5990295410156,2313862647600.91
29.2813504786747,3013034.87548611,91.2595520019531,2044360327928.27
30.4509089692039,2657014.64930259,90.9216690063477,1847119549328.77
31.6792835634503,2594138.45506564,90.5106201171875,1736143014172.34
14.9072794927063,7483351.16820777,95.2626190185547,13597889126598.8
14.4745004715235,7735846.46117871,95.0989074707031,13306887306272.5
14.8367730293056,7754767.15457536,94.8922805786133,12784467992142.2
14.5604398933454,7862893.80661749,94.4324188232422,11855481580395.5
14.7348010536402,7926207.90305947,94.3348388671875,10746721177079.8
14.7362101871014,7750998.45835858,94.1588287353516,9638846002337.58
15.7261133262709,6922444.16073922,94.421257019043,7890862049222.1
17.0417177123353,5984671.20836905,94.2424697875977,6483346119173.79
17.8967893794338,6097523.07325368,93.935173034668,5979821324679.64
18.4989301712702,5272387.79935363,93.6721496582031,4726058406128.56
19.8997397792151,5175680.74073454,92.5447692871094,3738299975924.3
20.9168359804373,4662253.10536198,92.1275100708008,3104015775227.44
23.4303841177137,4059541.86020891,91.8258590698242,2679766961249.68
26.8734001842069,3506956.35949176,91.4904937744141,2311138073121.47
29.6045978159098,2949789.22858167,91.1455230712891,2041978325525.65
30.8278405422776,2590670.16156626,90.8022232055664,1844983469200.51
32.0740005836652,2529735.40684749,90.3848495483398,1734140610323.9
12.8936464767637,2245148.17506087,98.2315368652344,20408605606979.3
12.8793455872569,2327474.32484034,98.1386489868164,20481460301210.5
12.4375558577975,1913408.20221707,98.0961380004883,23784373303750.2
12.288853120323,2030823.0917628,98.0536727905273,23454990403618.1
11.6012722289391,2110435.43160432,97.9875411987305,22453705241187.9
10.7488701184553,2011230.05809589,97.8842086791992,23305973325589.8
10.8853454528135,1959219.58012337,97.7472763061523,21016513112950.8
10.4358732450885,1846495.03875056,97.4136810302734,20545109873740.8
9.49520592739064,2103346.24717062,97.3537673950195,23363341474912.2
9.13858807779309,2160456.71406927,97.2418212890625,21227702064340.8
8.56695069696663,2172308.41967967,97.1411590576172,18167737736908.1
8.29421598308961,2075331.77510181,97.1132431030273,16780903793743.8
7.96452959988101,2108214.48004866,96.9480819702148,15775505005718.8
7.69277740506278,2129124.1025901,96.8662490844727,13534598831552.2
7.56767456873364,2063692.12775517,96.7673721313477,11134331409101.7
7.62294061200408,2070167.75155179,96.5860977172852,10168292808351.0
7.61337254150596,2092559.63836971,96.4940719604492,10065925069173.9
,937771.217113162,,1447395306947.53
,927244.297692206,,1507646946545.93
,905263.052435109,,1729714204725.05
,949644.69258043,,1802285899175.5
7.51228880189759,1008596.18875525,98.7599792480469,1652506728905.02
,936402.583391221,,1566799086233.4
,892814.901295312,,1377629393492.27
,837487.136230849,,1163141205236.09
,958651.084060741,,1395064178011.71
,928538.285115238,,1165481350733.46
,933530.466552173,,925984007321.038
,880296.897141981,,796047189589.775
,881614.390832689,,639128690749.53
,889636.637281752,,495996118252.84
,857828.01997716,,389028550190.813
,852089.07237531,,334433492950.211
,882210.728555322,,390254644017.597
7.02388910258759,1152508.18561297,99.0447692871094,3486198200219.98
6.91537820498688,1140848.06849575,98.932502746582,3627947465522.13
6.5278379664623,1121755.0274696,98.9101104736328,4644397266377.62
6.84289164403339,1181584.5780911,98.8830490112305,4915748484819.65
6.31102741897139,1237938.11550368,98.8413314819336,4646863189589.23
6.07092779006697,1183609.36690906,98.7258071899414,4450219264234.29
6.47053937004181,1136846.73960131,98.4977111816406,3657869416963.52
6.31016030362143,1069665.73062429,98.2263412475586,3113738044750.08
5.65568190327709,1211797.48453309,97.8479766845703,3926836234821.61
5.73937107663892,1187294.90332434,97.7478790283203,3172404499923.27
5.80596892249769,1197621.95549502,97.6657028198242,2466363795862.12
6.00418221003651,1129497.3448371,97.6985015869141,2039292026212.71
5.90786082633953,1133776.91219363,97.5674362182617,1628013567626.74
5.63636860981498,1145081.13876061,97.5136871337891,1258197590827.01
5.74985784024828,1107820.56814254,97.4397430419922,1022700571400.73
5.71777156327375,1105761.79474414,97.3662796020508,909540184630.042
5.78122035941118,1132791.87020508,97.2870864868164,894544257579.766
58.2962779162406,33152.6982963505,,1490633651211.68
57.9569141971482,32665.3922980658,,1617323277101.47
53.9001464852927,33152.7773274887,,2053788945066.26
52.6530661299464,30917.163388179,,1935544489353.47
52.059126237069,25954.1032383206,,1861813804786.77
52.3280293306684,30604.6547981666,,1664321553843.86
51.8410966665012,26303.6891186735,,1593981100293.48
53.5439402404876,20433.7016980309,,1342728724357.15
51.2186417388837,21403.2032305017,,1481946186150.49
16.2907775762078,10970530.1642917,88.6774673461914,26027770587219.1
16.0016686563943,11189098.1655531,88.2912673950195,25838353087075.7
16.0045069649585,11215241.6564385,88.2257690429688,27592783808400.6
16.0065412982122,11191020.093886,87.5484085083008,26693510662628.9
15.887836659539,11345846.7539867,87.5256729125977,25304734948065.9
15.9736658791588,10965449.1883108,87.0318603515625,23807285173177.4
16.7272460910101,9944722.79135312,86.7403182983398,20111983284711.5
17.4921772207877,8885064.8991222,86.1131286621094,16541826277696.3
17.6459798426458,9088704.57352775,85.7301406860352,17060926940839.9
18.0131034659241,8114968.66868754,85.3633193969727,14221824723610.0
18.7619771757821,7938742.91286677,84.2480697631836,11453342785003.8
19.330980443884,7273534.70443378,84.2022094726562,9657998889452.79
20.2990969332166,6591988.07231746,84.1974334716797,8085419494002.9
21.555951743121,5961881.77158831,83.8406524658203,6788178855352.03
22.538600180143,5271046.86342945,83.1944274902344,6043651266693.34
22.9120579197555,4889567.1320523,82.7857971191406,5954917913637.39
23.45908993314,4843468.93202384,82.4351119995117,5873248460100.09
21.8679040434864,11222886.7399408,83.8043899536133,28169507573194.1
21.6294500257339,11429732.1178345,83.2457275390625,27987288576613.1
21.5577206112403,11445387.5972504,83.0485305786133,29800896836060.0
21.5875277098192,11409528.9208351,82.3959732055664,28743704005346.5
21.4339037224209,11562149.6394293,82.269172668457,27188545719649.6
21.5517160046757,11180084.8459839,81.7406005859375,25594615218755.3
22.2906265971934,10140538.1641678,81.5316009521484,21693456395830.3
23.1982560728632,9061553.59016622,80.7384796142578,17913122960002.2
23.2238417923038,9268937.83070385,80.3985137939453,18465834149693.5
23.5805920951732,8285464.39416158,80.0183486938477,15401421654907.7
24.456341477588,8099323.04149805,79.4558868408203,12458305114561.1
25.1086085216095,7422508.02608846,79.3485870361328,10499926993564.5
26.127597080377,6730159.51756954,79.4419708251953,8811152019657.5
27.5005338228407,6086601.69312982,78.979377746582,7408766752494.04
28.4585422536844,5384424.76528174,78.3695068359375,6593953285638.38
28.768739137131,4995299.99852915,77.9319686889648,6465885572313.4
29.2201293447597,4949337.95064247,77.5199813842773,6390526414219.35
61.1429771294734,42850.4136638711,,984095717018.772
62.3735090978928,37441.0990725029,,1054056007822.38
61.8385923740395,37221.0455943038,,1110564323061.43
62.246393373411,30059.3051220041,,1023665425289.17
62.4246639753473,26906.5389252599,,941695867218.565
60.2378919914661,32251.8379593338,,847544916121.797
60.7194266961421,31607.6814140599,,741312007016.759
61.7351363294568,30415.3916594536,,631412536974.89
59.9610335166865,33072.037287167,,677188107675.71
59.6391873523077,39761.6630244212,,578188309214.908
59.6672201540436,33952.2511999636,,498778333888.959
59.9046514027308,32155.8146233924,,402541987923.416
59.182858931226,31903.7533665461,,340143118674.081
59.3144484838754,27914.7839526451,,280423881008.659
59.143855992644,26888.2995520399,,248462838455.275
59.0192111844981,24915.2128053513,,226318400272.65
58.9463102894891,25570.2456524301,,226799197386.943
64.842847006727,118735.462296997,,2140704517319.64
65.8156959470969,100402.83513831,,2147696040031.45
65.8203219173824,86982.164137851,,2208113027659.46
66.2272364460917,72990.1416473321,,2050193342717.68
65.9581495375944,67520.9625860042,,1883810771583.73
65.2675994605529,72177.0916918019,,1787330045577.84
65.7143853561922,66900.2392288641,,1581473111118.86
66.776109997762,61685.0765878851,,1371296682305.85
65.8162778624231,62724.9527923918,,1404907208853.62
65.7890032403863,69481.1880674592,,1179708743319.34
66.5603110008094,59220.3438853608,,1005777469306.55
66.8986249779405,56848.7336734606,,842542900340.948
66.9807635095147,55945.2631165463,,726522702342.758
67.2422610372785,50255.5497283596,,621400206928.449
67.3629126090193,48783.9220030662,,550995965118.904
67.47909015535,46043.9214998415,56.6594390869141,511239299618.944
67.7764335069289,47208.1509626741,55.770580291748,517721477276.151
14.1073917695408,8489247.42406873,95.7430801391602,18593573738109.3
13.767259438093,8832973.86491406,95.5112915039062,18550881244486.0
13.8134442754648,8933547.13098505,95.4148864746094,19776331354297.4
13.6438163401403,9034730.2442969,95.2111129760742,19042359863611.2
13.582850422228,9025959.37850597,95.1441268920898,17680657970635.3
13.5308228801371,8812765.98917058,94.9711380004883,16530365963615.5
14.2153188758712,7999184.63921925,94.6083297729492,13564267760890.2
15.0753928441819,6922138.2719674,94.4404220581055,11269360521229.5
15.1033008021706,7199336.61479097,94.1736526489258,11663554908011.7
15.5657045111247,6358358.11273437,93.9794998168945,9382447414660.31
16.2528658854835,6313182.04615104,93.0054397583008,7448573743924.26
16.8416458898126,5761123.22977838,92.7838973999023,6172905218377.23
18.0304755099958,5150983.14496114,92.4644088745117,5117293242644.11
19.4851359525076,4589423.64262563,92.2715301513672,4257947205698.71
20.652796503062,3989496.93984883,91.9046325683594,3736796107267.68
20.855511280119,3626552.29426025,91.6210021972656,3525091029820.11
21.6396740579505,3590867.16001524,91.2517929077148,3410313487927.4
,187138.869950516,,5283310849435.27
,191202.301748053,,5418289197382.29
,187603.929490455,,6483202078515.13
,182632.902298384,,6362333301077.53
,170825.743328138,,6209024743500.11
,178937.407007148,,6137298312571.18
,161158.482043393,,5395521584867.2
,128967.263047066,,4355865396934.77
,144667.862120132,,4642685980825.88
,142514.32612447,,3997430459125.19
,144275.249962078,,3395773013103.38
,139381.335216355,,2901840928620.71
,126999.665516231,,2404140329731.79
,131852.090153873,,2090649676533.06
,115230.184604072,,2051651216847.52
,112536.875021853,,2281659001901.31
,114623.193529301,,2326171956618.83
,154674.322990723,,4496975505130.54
,158344.871580122,,4634564315170.45
,157463.418334466,,5457289044548.77
,151495.483805432,,5436631031505.86
,141921.604180531,,5297857656983.35
,152903.224249132,,5320445093655.74
,139998.163122368,,4556436688834.76
,111547.502045741,,3643244830292.97
,123964.139806383,,3931407891415.48
,125356.909561341,,3401597415158.73
,127818.105429692,,2881093926514.89
,125150.935577899,,2470502060472.19
,113814.509784371,,2043684160277.32
,119652.521047951,,1793945251035.72
,103290.82673538,,1757081641119.62
,100635.103964496,,1951435655114.42
,97192.987622836,,2001496152611.12
,184344.548684579,,5053700630074.01
,188332.276272054,,5194835549016.91
,184806.513316471,,6270841236825.2
,179875.029052486,,6154592516614.85
,168266.368573595,,6005862490255.01
,176261.227020044,,5940252657561.23
,158677.663749419,,5210710546171.9
,126953.633548556,,4176119188574.45
,142416.916978487,,4465251653168.29
,140314.553778133,,3826508335402.83
,142095.24392051,,3234376593372.23
,137220.496689238,,2751720692302.0
,124996.115765083,,2264753929049.28
,129780.21588085,,1960572727991.55
,113439.960957861,,1927469572333.21
,110790.530756196,,2161567505918.14
,112826.685188859,,2214793108979.01
23.7298727215053,11007940.1856388,83.6039962768555,25586586836480.0
23.4438501781898,11213246.5487497,83.0385131835938,25326526306958.9
23.4128918494465,11235207.6004856,82.837532043457,26101787332747.3
23.3635991441574,11178437.9276566,82.1807708740234,24940261486687.7
23.3737721007755,11347159.3783843,82.0476913452148,23512181553245.6
23.5641076061905,10947716.3301008,81.5104217529297,22115543075986.5
24.42140986766,9929380.61975354,81.2899169921875,18779543105772.0
25.4400497752476,8867986.26873323,80.4803619384766,15446634909614.8
25.7031636314608,9068127.57375879,80.1350479125977,15416273265910.1
26.1492849528247,8074154.25466595,79.7461624145508,12982509324893.0
27.3053336867588,7896586.38301808,79.179443359375,10575560319816.4
28.1267205269202,7234680.46095908,79.0746765136719,8985212394211.48
29.6807834081673,6535249.12035176,79.16748046875,7609727994130.64
31.6653580466969,5886826.63114112,78.6955871582031,6487373546291.21
32.9346470367081,5187794.39092746,78.0732727050781,5796547790161.36
33.5301283414834,4797705.67078242,77.6253814697266,5687811932590.82
34.1125089057909,4746801.49926838,77.2071914672852,5680267093251.76
40.8186366784506,2243472.18066347,74.7081527709961,5297558624291.54
41.6452035961217,2132262.31957703,74.0270309448242,5083698600746.07
42.5324013868184,2001696.37308981,73.2375564575195,5090396351864.47
43.4536986548303,1883368.46640401,72.4125137329102,4712914034204.83
43.4740995063709,2031692.55843451,71.8498916625977,4456528170120.24
43.3890943836142,1833179.36227111,71.0120620727539,4217834186882.18
44.1423325863095,1622338.66410874,70.9337463378906,3780034647966.09
45.322950892833,1638818.7576281,69.1890182495117,3141137667805.05
46.1581085084222,1577994.35390335,68.3801116943359,3012634293754.04
47.2894683251323,1449071.25284177,67.7421188354492,2723528151247.76
48.6320305352854,1345602.14947719,67.4235229492188,2225374816704.39
49.26357136733,1242090.0530873,67.1387329101562,1900255691229.5
49.8165638060833,1157722.51872792,67.4801406860352,1649437905989.37
50.3775022182786,1099722.05283943,66.7536087036133,1433893499316.57
50.5225896033837,1045428.63891444,65.6905822753906,1264000378395.07
51.2705442088655,1015355.20905476,64.9259719848633,1197955232304.74
51.5305448172775,986014.029221777,,1185525202868.85
,29558.3243176697,,1496714718329.85
,31239.927704332,,1460582775148.29
,29601.8269200734,,1625989413800.06
